track_name,artist,genre,track_uri,track_link,track_preview,album
"Another Brick in the Wall, Pt. 2",Pink Floyd,Rock,spotify:track:4gMgiXfqyzZLMhsksGmbQV,https://open.spotify.com/track/4gMgiXfqyzZLMhsksGmbQV,https://p.scdn.co/mp3-preview/73d913b1a9cfa64fda1f7d04d7bb16345fa0aac4?cid=334acd00a2d445cb9077c0c4cf57f5a9,The Wall
Heart-Shaped Box,Nirvana,Rock,spotify:track:11LmqTE2naFULdEP94AUBa,https://open.spotify.com/track/11LmqTE2naFULdEP94AUBa,,In Utero (Deluxe Edition)
Psycho Killer - 2005 Remaster,Talking Heads,Rock,spotify:track:1i6N76fftMZhijOzFQ5ZtL,https://open.spotify.com/track/1i6N76fftMZhijOzFQ5ZtL,https://p.scdn.co/mp3-preview/dc5f37a0150178ec981bfe2c7bd702d0437e9630?cid=334acd00a2d445cb9077c0c4cf57f5a9,Talking Heads '77 (Deluxe Version)
Sweet Home Alabama,Lynyrd Skynyrd,Rock,spotify:track:4CJVkjo5WpmUAKp3R44LNb,https://open.spotify.com/track/4CJVkjo5WpmUAKp3R44LNb,,Second Helping
Livin' On A Prayer,Bon Jovi,Rock,spotify:track:0J6mQxEZnlRt9ymzFntA6z,https://open.spotify.com/track/0J6mQxEZnlRt9ymzFntA6z,,Slippery When Wet
Slow Ride - Edit,Foghat,Rock,spotify:track:4MYb7NWLwXNDB7bYs3HeX8,https://open.spotify.com/track/4MYb7NWLwXNDB7bYs3HeX8,https://p.scdn.co/mp3-preview/1fc182fa0e04c221fe2d14ec0bac4700eccf406c?cid=334acd00a2d445cb9077c0c4cf57f5a9,Slow Ride / Save Your Loving (For Me)
Should I Stay or Should I Go - Remastered,The Clash,Rock,spotify:track:39shmbIHICJ2Wxnk1fPSdz,https://open.spotify.com/track/39shmbIHICJ2Wxnk1fPSdz,https://p.scdn.co/mp3-preview/30dfcd239fdb4a9ee277ff3a214a4f6771bd8cb3?cid=334acd00a2d445cb9077c0c4cf57f5a9,Combat Rock (Remastered)
Crazy Train,Ozzy Osbourne,Rock,spotify:track:2b9lp5A6CqSzwOrBfAFhof,https://open.spotify.com/track/2b9lp5A6CqSzwOrBfAFhof,https://p.scdn.co/mp3-preview/82413173824c77d38be0f2db4456ebf289d12f05?cid=334acd00a2d445cb9077c0c4cf57f5a9,Blizzard of Ozz (Expanded Edition)
Don't Cry (Original),Guns N' Roses,Rock,spotify:track:2N2yrmodOnVF10mKvItC9P,https://open.spotify.com/track/2N2yrmodOnVF10mKvItC9P,,Use Your Illusion I
Immigrant Song - Remaster,Led Zeppelin,Rock,spotify:track:78lgmZwycJ3nzsdgmPPGNx,https://open.spotify.com/track/78lgmZwycJ3nzsdgmPPGNx,https://p.scdn.co/mp3-preview/f50f3416ea0807503e172ba87a92d8047d4f95da?cid=334acd00a2d445cb9077c0c4cf57f5a9,Led Zeppelin III (Remaster)
